Пропущенные значения, которые есть в отчете, но нет в РД (J, E):

       Коды работ по выпуску РД|
482  | 20UBA.E.B00.D-2100      |
483  | 20UBA.E.B00.D-1950      |
484  | 20UBA.E.B00.D-1750      |
485  | 20UBA.E.B00.D-1530      |
486  | 20UBA.E.B00.D-1960      |
487  | 20UBA.E.B00.D-1520      |
488  | 20UBA.E.B00.D-1570      |
489  | 20UBA.E.B00.D-1970      |
490  | 20UBA.E.B00.D-1560      |
491  | 20UBA.E.B00.D-1550      |
492  | 20UBA.E.B00.D-1850      |
493  | 20UBA.E.B00.D-1540      |
494  | 20UBA.E.B00.D-1780      |
495  | 20UBA.E.B00.D-1580      |
496  | 20UBA.E.B00.D-1590      |
497  | 20UBA.E.B00.D-1860      |
498  | 20UBA.E.B00.D-1090      |
499  | 20UBA.E.B00.D-1770      |
500  | 20UBA.E.B00.D-1120      |
501  | 20UBA.E.B00.D-1130      |
502  | 20UBA.E.B00.D-1140      |
503  | 20UBA.E.B00.D-1870      |
504  | 20UBA.E.B00.D-1980      |
505  | 20UBA.E.B00.D-1880      |
506  | 20UBA.E.B00.D-2000      |
507  | 20UBA.E.B00.D-1890      |
508  | 20UBA.E.B00.D-1990      |
509  | 20UBA.E.B00.D-1180      |
510  | 20UBA.E.B00.D-1930      |
511  | 20UBA.E.B00.D-2020      |
512  | 20UBA.E.B00.D-1900      |
513  | 20UBA.E.B00.D-1150      |
514  | 20UBA.E.B00.D-1910      |
515  | 20UBA.E.B00.D-1160      |
516  | 20UBA.E.B00.D-1920      |
517  | 20UBA.E.B00.D-1170      |
518  | 20UBA.E.B00.D-2040      |
519  | 20UBA.J.C00.D-1121      |
520  | 20UBA.J.C00.D-1120      |
521  | 20UBA.J.C00.D-1123      |
522  | 20UBA.J.C00.D-1124      |
523  | 20UBA.J.C00.D-1125      |
524  | 20UBA.J.C00.D-1126      |
525  | 20UBA.J.C00.D-1129      |
526  | 20UBA.J.C00.D-3290      |
527  | 20UBA.J.C00.D-1130      |
528  | 20UBA.J.C00.D-1131      |
529  | 20UBA.J.C00.D-1134      |
530  | 20UBA.J.C00.D-1135      |
531  | 20UBA.J.C00.D-1137      |
532  | 20UBA.J.C00.D-1139      |
533  | 20UBA.J.C00.D-1141      |
534  | 20UBA.J.C00.D-1128      |
535  | 20UBA.J.C00.D-1127      |
536  | 20UBA.J.C00.D-1280      |
537  | 20UBA.J.C00.D-1290      |
538  | 20UBA.J.C00.D-1143      |
539  | 20UBA.J.C00.D-1146      |
540  | 20UBA.J.C00.D-1150      |
541  | 20UBA.J.C00.D-1480      |
542  | 20UBA.J.C00.D-1147      |
543  | 20UBA.J.C00.D-1148      |
544  | 20UBA.J.C00.D-1153      |
545  | 20UBA.J.C00.D-1151      |
546  | 20UBA.J.C00.D-1152      |
547  | 20UBA.J.C00.D-1155      |
548  | 20UBA.J.C00.D-1145      |
549  | 20UBA.J.C00.D-1430      |
550  | 20UBA.J.CVE.D-2010      |
551  | 20UBA.J.CVE.D-2000      |
552  | 20UBA.J.C00.D-1156      |
553  | 20UBA.J.C00.D-1160      |
554  | 20UBA.J.C00.D-1161      |
555  | 20UBA.J.CY0.D-1270      |
556  | 20UBA.J.C00.D-1170      |
557  | 20UBA.J.CY0.D-1180      |
558  | 20UBA.J.CY0.D-1260      |
559  | 20UBA.J.CY0.D-1190      |
560  | 20UBA.J.CY0.D-1200      |
561  | 20UBA.J.CY0.D-1210      |
562  | 20UBA.J.C00.D-3310      |
563  | 20UBA.J.C00.D-3300      |
564  | 20UBA.J.CY0.D-1220      |
565  | 20UBA.J.CY0.D-1230      |
566  | 20UBA.J.CY0.D-1240      |
567  | 20UBA.J.CY0.D-1250      |
568  | 20UBA.J.CY0.D-1110      |
569  | 20UBA.J.CY0.D-1000      |
570  | 20UBA.J.CY0.D-1020      |
571  | 20UBA.J.CY0.D-1010      |
572  | 20UBA.J.CY0.D-1040      |
573  | 20UBA.J.CY0.D-1030      |
574  | 20UBA.J.CY0.D-1060      |
575  | 20UBA.J.CY0.D-1050      |
576  | 20UBA.J.CY0.D-1080      |
577  | 20UBA.J.CY0.D-1070      |
578  | 20UBA.J.CY0.D-1100      |
579  | 20UBA.J.CY0.D-1090      |
580  | 20UBA.J.CYE.D-1020      |
581  | 20UBA.J.CYE.D-1010      |
582  | 20UBA.J.CYE.D-1030      |
583  | 20UBA.J.CYE.D-1050      |
584  | 20UBA.J.CYE.D-1040      |
585  | 20UBA.J.CYE.D-1060      |
586  | 20UBA.J.CYE.D-1000      |
587  | 20UBA.J.CYE.D-1070      |
588  | 20UBA.J.CYE.D-1080      |
589  | 20UBA.J.CYE.D-1090      |
590  | 20UBA.J.CYE.D-1100      |
591  | 20UBA.J.C00.D-1010      |
592  | 20UBA.J.C00.D-1030      |
593  | 20UBA.J.C00.D-1600      |
594  | 20UBA.J.C00.D-1080      |
595  | 20UBA.J.C00.D-1020      |
596  | 20UBA.J.C00.D-1040      |
597  | 20UBA.J.C00.D-1090      |
598  | 20UBA.J.C00.D-1110      |
599  | 20UBF.E.B00.D-1060      |
600  | 20UBF.E.B00.D-1040      |
601  | 20UBF.E.B00.D-1050      |
602  | 20UBF.E.B00.D-1120      |
603  | 20UBF.E.B00.D-1100      |
604  | 20UBF.E.B00.D-1030      |
605  | 20UBF.E.B00.D-1110      |
606  | 20UBF.E.BAU.D-1000      |
607  | 20UBF.E.BJ0.D-1000      |
608  | 20UBF.E.B00.D-1090      |
609  | 20UBF.E.B00.D-1080      |
610  | 20UBF.E.B00.D-1070      |
611  | 20UBF.E.B00.D-1130      |
612  | 20UBF.E.B00.D-1000      |
613  | 20UBF.E.BJ0.D-1010      |
614  | 20UBF.E.B00.D-1020      |
615  | 20UBF.J.CR0.D-1000      |
616  | 20UBF.J.CY0.D-1050      |
617  | 20UBF.J.CR0.D-1010      |
618  | 20UBF.J.CY0.D-1070      |
619  | 20UBF.J.CY0.D-1060      |
620  | 20UBF.J.CY0.D-1040      |
621  | 20UBG.E.B00.D-1030      |
622  | 20UBG.E.H00.D-1100      |
623  | 20UBG.E.BAU.D-1050      |
624  | 20UBG.E.AT0.D-1040      |
625  | 20UBG.E.B00.D-1020      |
626  | 20UBG.E.BG0.D-1010      |
627  | 20UBG.E.BG0.D-1190      |
628  | 20UBG.E.AC0.D-1080      |
629  | 20UBG.E.B00.D-1090      |
630  | 20UBH.J.CY0.D-1000      |
631  | 21UBZ.E.BJ0.D-1000      |
632  | 22UBZ.E.BJ0.D-1000      |
633  | 23UBZ.E.BJ0.D-1000      |
634  | 24UBZ.E.BJ0.D-1000      |
635  | 25UBZ.E.BJ0.D-1000      |
636  | 26UBZ.E.BJ0.D-1000      |
637  | 27UBZ.E.BJ0.D-1000      |
